CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
1.1%,0.448059 GB,13.1786 GB,14.6125 GB
1.1%,0.449173 GB,13.1779 GB,14.6125 GB
1.1%,0.449753 GB,13.1776 GB,14.6125 GB
1.1%,0.449444 GB,13.1774 GB,14.6125 GB
1.1%,0.449341 GB,13.1778 GB,14.6125 GB
1.1%,0.449364 GB,13.178 GB,14.6125 GB
1.1%,0.449192 GB,13.1782 GB,14.6125 GB
1.1%,0.448952 GB,13.1782 GB,14.6125 GB
1.1%,0.448555 GB,13.1783 GB,14.6125 GB
1.1%,0.44836 GB,13.1788 GB,14.6125 GB
1.1%,0.448631 GB,13.1785 GB,14.6125 GB
1.1%,0.448383 GB,13.1787 GB,14.6125 GB
1.1%,0.448795 GB,13.1783 GB,14.6125 GB
1.1%,0.448311 GB,13.1785 GB,14.6125 GB
1.1%,0.44809 GB,13.179 GB,14.6125 GB
1.1%,0.448647 GB,13.1787 GB,14.6125 GB
1.1%,0.448669 GB,13.1787 GB,14.6125 GB
1.1%,0.44894 GB,13.1784 GB,14.6125 GB
1.1%,0.448956 GB,13.1781 GB,14.6125 GB
1.1%,0.449108 GB,13.178 GB,14.6125 GB
1.1%,0.449116 GB,13.178 GB,14.6125 GB
1.1%,0.449657 GB,13.1774 GB,14.6125 GB
1.1%,0.448936 GB,13.1782 GB,14.6125 GB
1.1%,0.448223 GB,13.1786 GB,14.6125 GB
1.1%,0.448509 GB,13.1783 GB,14.6125 GB
1.1%,0.449409 GB,13.1777 GB,14.6125 GB
1.1%,0.449253 GB,13.1778 GB,14.6125 GB
1.1%,0.449162 GB,13.1779 GB,14.6125 GB
1.1%,0.449131 GB,13.1779 GB,14.6125 GB
1.1%,0.448799 GB,13.178 GB,14.6125 GB
1.1%,0.448936 GB,13.1781 GB,14.6125 GB
1.1%,0.448578 GB,13.1785 GB,14.6125 GB
1.1%,0.449188 GB,13.1779 GB,14.6125 GB
1.1%,0.449234 GB,13.1776 GB,14.6125 GB
1.1%,0.44952 GB,13.1773 GB,14.6125 GB
1.1%,0.449543 GB,13.1775 GB,14.6125 GB
1.1%,0.450256 GB,13.1771 GB,14.6125 GB
1.1%,0.450272 GB,13.1768 GB,14.6125 GB
1.1%,0.450005 GB,13.177 GB,14.6125 GB
1.1%,0.449291 GB,13.178 GB,14.6125 GB
1.1%,0.449097 GB,13.178 GB,14.6125 GB
1.1%,0.44902 GB,13.178 GB,14.6125 GB
1.1%,0.449402 GB,13.1776 GB,14.6125 GB
1.1%,0.449356 GB,13.1777 GB,14.6125 GB
1.1%,0.448967 GB,13.1778 GB,14.6125 GB
1.1%,0.449005 GB,13.1781 GB,14.6125 GB
1.1%,0.449036 GB,13.1777 GB,14.6125 GB
1.1%,0.448555 GB,13.1787 GB,14.6125 GB
1.1%,0.449028 GB,13.178 GB,14.6125 GB
1.1%,0.448662 GB,13.1784 GB,14.6125 GB
1.1%,0.448444 GB,13.1786 GB,14.6125 GB
1.1%,0.44873 GB,13.1783 GB,14.6125 GB
1.1%,0.449368 GB,13.1777 GB,14.6125 GB
1.1%,0.449467 GB,13.1776 GB,14.6125 GB
1.1%,0.449543 GB,13.1777 GB,14.6125 GB
1.1%,0.448635 GB,13.1784 GB,14.6125 GB
1.1%,0.449085 GB,13.1782 GB,14.6125 GB
1.1%,0.449108 GB,13.1777 GB,14.6125 GB
1.1%,0.450108 GB,13.1769 GB,14.6125 GB
1.1%,0.449734 GB,13.1776 GB,14.6125 GB
1.1%,0.449352 GB,13.1777 GB,14.6125 GB
1.1%,0.449593 GB,13.1774 GB,14.6125 GB
1.1%,0.449661 GB,13.1776 GB,14.6125 GB
1.1%,0.449463 GB,13.1776 GB,14.6125 GB
1.1%,0.449711 GB,13.1773 GB,14.6125 GB
1.1%,0.450218 GB,13.177 GB,14.6125 GB
1.1%,0.449753 GB,13.1772 GB,14.6125 GB
1.1%,0.450146 GB,13.1769 GB,14.6125 GB
1.1%,0.449409 GB,13.1776 GB,14.6125 GB
1.1%,0.449448 GB,13.1776 GB,14.6125 GB
1%,0.449448 GB,13.1775 GB,14.6125 GB
1%,0.450146 GB,13.1771 GB,14.6125 GB
1%,0.450001 GB,13.177 GB,14.6125 GB
1%,0.449783 GB,13.1772 GB,14.6125 GB
1%,0.449646 GB,13.1771 GB,14.6125 GB
1%,0.449745 GB,13.1772 GB,14.6125 GB
1%,0.449883 GB,13.1771 GB,14.6125 GB
1%,0.450176 GB,13.1771 GB,14.6125 GB
1%,0.450146 GB,13.1768 GB,14.6125 GB
1%,0.450665 GB,13.1766 GB,14.6125 GB
1%,0.450657 GB,13.1763 GB,14.6125 GB
1%,0.449852 GB,13.1767 GB,14.6125 GB
1%,0.45023 GB,13.1768 GB,14.6125 GB
1%,0.450432 GB,13.1766 GB,14.6125 GB
1%,0.450554 GB,13.1764 GB,14.6125 GB
1%,0.45042 GB,13.1766 GB,14.6125 GB
1%,0.450127 GB,13.1769 GB,14.6125 GB
1%,0.449593 GB,13.1771 GB,14.6125 GB
1%,0.449802 GB,13.1772 GB,14.6125 GB
1%,0.449909 GB,13.1771 GB,14.6125 GB
1%,0.450188 GB,13.1768 GB,14.6125 GB
1%,0.450512 GB,13.1764 GB,14.6125 GB
1%,0.450115 GB,13.1769 GB,14.6125 GB
1%,0.449688 GB,13.1771 GB,14.6125 GB
1%,0.449997 GB,13.177 GB,14.6125 GB
1%,0.450081 GB,13.1766 GB,14.6125 GB
1%,0.450794 GB,13.1764 GB,14.6125 GB
1%,0.450546 GB,13.1759 GB,14.6125 GB
1%,0.449944 GB,13.1768 GB,14.6125 GB
1%,0.450455 GB,13.1765 GB,14.6125 GB
1%,0.450485 GB,13.1765 GB,14.6125 GB
1%,0.449928 GB,13.1765 GB,14.6125 GB
1%,0.450306 GB,13.1764 GB,14.6125 GB
1%,0.450962 GB,13.176 GB,14.6125 GB
1%,0.450787 GB,13.1762 GB,14.6125 GB
1%,0.45068 GB,13.176 GB,14.6125 GB
1%,0.451019 GB,13.1759 GB,14.6125 GB
1%,0.451195 GB,13.1758 GB,14.6125 GB
1%,0.451099 GB,13.1756 GB,14.6125 GB
1%,0.450867 GB,13.1761 GB,14.6125 GB
1%,0.450691 GB,13.176 GB,14.6125 GB
1%,0.450817 GB,13.1761 GB,14.6125 GB
1%,0.45039 GB,13.1763 GB,14.6125 GB
1%,0.451141 GB,13.1758 GB,14.6125 GB
1%,0.450546 GB,13.1764 GB,14.6125 GB
1%,0.450172 GB,13.1768 GB,14.6125 GB
1%,0.449917 GB,13.177 GB,14.6125 GB
1%,0.450653 GB,13.1765 GB,14.6125 GB
1%,0.450256 GB,13.1767 GB,14.6125 GB
1%,0.450291 GB,13.1764 GB,14.6125 GB
1%,0.451096 GB,13.1761 GB,14.6125 GB
1%,0.450527 GB,13.1764 GB,14.6125 GB
1%,0.450581 GB,13.1764 GB,14.6125 GB
1%,0.451092 GB,13.1758 GB,14.6125 GB
1%,0.450279 GB,13.1764 GB,14.6125 GB
1%,0.450394 GB,13.1765 GB,14.6125 GB
1%,0.450153 GB,13.1765 GB,14.6125 GB
1%,0.450218 GB,13.1765 GB,14.6125 GB
1%,0.450745 GB,13.1762 GB,14.6125 GB
1%,0.450481 GB,13.1762 GB,14.6125 GB
1%,0.45052 GB,13.1764 GB,14.6125 GB
1%,0.451077 GB,13.1758 GB,14.6125 GB
1%,0.450554 GB,13.1761 GB,14.6125 GB
1%,0.450809 GB,13.1761 GB,14.6125 GB
1%,0.450344 GB,13.1763 GB,14.6125 GB
1%,0.450714 GB,13.1764 GB,14.6125 GB
1%,0.450397 GB,13.176 GB,14.6125 GB
1%,0.450256 GB,13.1767 GB,14.6125 GB
1%,0.45052 GB,13.1764 GB,14.6125 GB
1%,0.450558 GB,13.1764 GB,14.6125 GB
1%,0.450481 GB,13.1764 GB,14.6125 GB
1%,0.450581 GB,13.1766 GB,14.6125 GB
1%,0.450581 GB,13.1763 GB,14.6125 GB
1%,0.451363 GB,13.1756 GB,14.6125 GB
1%,0.451015 GB,13.1759 GB,14.6125 GB
1%,0.450588 GB,13.1761 GB,14.6125 GB
